	GSM1233280	GSM1233282	GSM1233283	GSM1233284	GSM1233286	GSM1233287	GSM1233288	GSM1233289	GSM1233290	GSM1233291
105376744	0	37	3	142	47	6	13	14	11	41
9249	217	633	38	429	337	156	378	95	226	243
102466722	0	0	0	2	3	0	2	1	0	1
343066	1	0	0	0	1	0	0	0	0	0
126767	0	2	0	0	3	0	0	0	0	3
93190	0	0	0	0	14	0	0	0	1	0
390999	0	0	0	0	0	0	0	0	0	1
65121	0	0	0	0	0	0	0	0	0	0
105376745	0	0	0	0	0	0	0	0	0	0
440560	0	0	0	0	0	0	0	0	0	1
343069	0	0	0	0	1	1	0	0	1	2
65122	0	0	0	0	0	0	0	0	0	0
400735	0	0	0	0	2	0	0	0	0	2
343071	0	0	0	0	3	0	0	0	0	0
441871	0	0	0	0	1	0	0	0	0	0
440561	0	0	0	0	1	0	0	0	0	0
101929983	0	0	0	0	1	0	0	0	0	1
649330	0	0	0	0	0	0	0	0	0	1
441873	0	0	0	0	1	0	0	0	0	4
649324	0	0	0	0	4	0	0	0	0	0
440563	0	0	0	0	0	0	0	0	0	1
645354	0	0	0	0	5	0	0	0	0	0
645359	0	0	0	0	0	0	0	0	0	2
101060301	0	0	0	0	0	0	0	0	1	1
343070	0	0	0	0	1	0	0	0	0	0
400736	0	0	0	0	1	1	0	0	0	0
391003	0	0	0	0	0	0	0	0	0	0
343068	0	0	0	0	0	0	0	0	0	0
391002	0	0	0	0	1	0	0	0	0	0
645382	0	0	0	0	0	0	0	0	0	0
653619	0	0	0	0	3	0	0	0	0	1
729528	0	0	0	0	0	1	0	0	0	0
645414	0	0	0	1	2	0	0	0	0	0
391004	0	0	0	0	1	0	0	0	0	0
645425	0	0	0	0	0	0	0	0	0	0
126755	0	0	0	0	0	0	0	0	0	1
102724856	0	0	0	1	2	0	0	1	0	0
107984918	0	0	0	0	0	0	0	0	0	0
10630	0	0	0	0	6	0	0	0	0	0
107984919	0	0	0	0	4	0	0	0	0	2
105378612	0	0	0	1	8	0	0	0	2	0
105376756	0	2	0	4	0	0	0	0	1	0
7799	6064	5693	1568	7876	5633	3192	5649	2170	6024	5397
23254	329	242	7	411	229	30	34	5	141	95
107985467	0	13	0	3	8	4	12	2	14	5
107985468	0	0	0	0	10	1	0	1	0	4
105376762	0	0	0	0	9	0	0	0	0	2
105376759	0	5	0	11	7	0	0	0	0	0
107985469	0	3	0	3	0	0	0	0	0	1
200197	6	2	0	1	5	0	1	1	0	1
55092	0	72	68	46	5	10	50	34	29	38
727684	0	1	3	3	0	0	0	2	8	0
114827	2	45	3	13	21	3	5	4	18	9
101927417	6	10	0	7	2	0	0	0	4	1
101927441	666	702	200	899	833	404	467	245	611	488
79180	10430	10340	4325	10150	8099	7226	8073	3793	7601	8589
11330	4	12	2	1	7	1	0	0	3	9
63036	0	0	0	4	0	0	0	0	0	0
105376767	1	0	0	3	1	0	0	0	0	0
51032	5	17	1	19	18	1	11	1	4	17
842	239	185	54	205	181	187	220	79	158	188
23341	1170	1138	314	1202	620	667	983	360	968	700
107397391	0	2	0	2	0	1	0	2	13	0
79814	132	226	29	192	160	100	159	61	129	149
84301	1662	1749	589	1964	1345	1072	1642	692	1648	1466
6248	602	505	204	671	487	365	469	264	567	446
23207	948	1008	558	1519	747	979	814	487	648	822
284723	54	56	20	30	37	34	29	23	14	12
110806303	2	1	0	2	0	3	0	1	0	0
388595	0	0	0	0	0	0	0	0	0	1
54751	6	4	0	2	2	0	2	2	1	1
440567	16	20	14	26	6	13	20	10	10	18
729614	51	82	36	75	67	46	33	20	26	42
23013	5145	4793	1114	4471	3069	1598	3380	1019	4997	3384
7709	451	418	139	488	322	207	430	128	494	386
149563	0	0	0	0	3	0	0	0	0	0
27129	0	0	0	1	1	2	0	11	1	1
1187	0	0	0	0	1	0	0	0	0	1
1188	0	0	0	0	3	0	0	0	0	0
348487	0	0	0	0	0	0	0	0	0	1
1969	13	12	7	20	1	5	6	4	1	13
101927479	0	2	0	0	0	0	0	0	1	0
128272	7	50	8	39	26	12	22	7	22	15
101927546	31	92	58	33	43	39	35	27	15	11
79363	28	33	2	7	27	4	47	8	22	15
54455	1477	1590	205	1425	861	554	1268	382	1321	1226
26099	3452	4729	2582	4738	2524	3870	2840	2137	2319	3458
374955	1696	2696	1096	2414	1333	1558	1567	962	1181	1779
55707	2253	2847	1739	2116	1318	2249	2484	1265	1805	2720
107984921	74	107	50	163	95	53	150	46	155	107
114819	371	497	91	396	250	146	519	116	465	333
26871	5	2	8	6	9	3	5	3	9	4
107985757	0	0	0	0	0	0	0	0	0	0
100132147	0	10	0	1	1	0	1	1	5	3
107985758	0	0	0	0	0	0	0	0	0	0
7195	0	0	0	0	0	0	0	0	0	0
55672	211	209	48	426	346	168	303	40	443	351
105376794	347	1566	214	958	788	349	875	214	1171	674
84809	119	350	87	263	175	95	190	51	292	151
11209	8	21	4	17	17	13	23	6	21	20
107985736	11	21	3	65	61	19	20	2	51	42
26869	14	3	3	4	3	3	3	2	5	2
107985759	0	0	0	0	1	0	0	0	0	0
284729	4	2	5	0	0	0	2	1	0	1
100189045	0	0	0	0	0	0	0	0	0	0
6060	19	6	6	6	5	4	4	2	8	6
11223	20	95	9	70	60	26	49	5	67	47
100500876	0	0	0	0	0	0	0	0	0	0
100189298	0	0	0	0	0	0	0	0	0	0
112267871	5	1	0	1	1	0	0	1	0	0
7193	1	0	0	0	0	0	0	0	0	0
100189183	0	0	0	0	1	0	0	0	0	0
105376805	104	113	96	47	81	85	128	37	30	64
791226	0	0	0	0	0	1	1	0	1	1
26870	17	11	3	12	6	4	4	0	4	4
9696	58	144	10	133	98	59	181	29	83	90
4237	0	0	0	1	3	0	5	0	0	1
105376806	0	0	0	0	0	0	0	0	0	0
23400	302	223	123	284	183	144	258	98	239	163
6390	2162	1644	925	1507	1037	1811	1689	529	1224	2014
11240	1287	2548	615	3370	1362	1261	1236	604	3358	2960
105376808	0	0	0	0	0	0	0	0	0	0
400743	0	0	0	0	0	0	0	0	0	1
29943	0	0	0	1	8	0	0	0	0	0
51702	0	0	0	0	2	0	0	0	0	0
100616188	0	0	0	0	0	0	0	0	0	0
23569	2071	1208	550	2457	969	1012	726	555	686	995
353238	0	0	0	4	12	21	5	1	8	0
55920	2045	2238	861	2115	1410	1127	1753	777	2833	1815
55160	323	287	158	378	173	136	169	73	371	211
107984028	0	0	0	0	0	0	0	0	0	1
81569	0	0	0	0	0	0	0	0	0	3
105376809	0	0	0	0	4	0	0	0	0	0
105376812	0	0	0	0	3	0	0	0	0	1
101927876	0	0	0	7	1	0	0	0	0	0
84966	0	0	0	1	4	0	0	0	1	3
105376814	0	0	0	0	1	0	0	0	2	1
127707	0	33	0	5	3	2	0	1	0	0
5081	0	0	0	0	7	0	0	0	0	0
80834	0	0	0	0	7	0	0	0	0	0
8659	18	76	18	56	35	33	50	16	13	43
100616120	0	0	0	0	0	0	0	0	0	0
100302276	0	0	0	0	0	0	0	0	0	0
126917	1063	1399	164	1007	645	311	1434	262	1086	664
105376815	0	0	0	0	6	0	0	0	0	1
23352	6264	7284	1693	6991	4412	2928	6084	1986	7604	5238
101927895	72	131	16	69	57	24	131	25	78	71
23065	1146	1081	229	795	566	356	1018	241	1235	743
51154	144	138	17	64	31	41	131	36	106	69
246181	1	1	1	3	1	1	1	3	2	2
22977	0	6	3	6	1	1	0	1	1	8
100506730	5	5	0	40	1	1	10	4	31	18
8574	254	191	21	156	70	56	191	47	182	132
54896	159	151	42	307	161	109	114	48	158	181
832	2977	2564	1962	6408	3277	3481	2967	2342	2836	2781
105376819	3	2	0	1	1	0	1	0	6	1
105376818	0	0	0	0	0	0	0	0	4	0
105376817	0	1	0	0	3	0	0	1	8	1
105378614	0	0	0	0	0	6	0	0	0	1
440574	102	219	105	244	116	148	388	104	249	200
100532736	18	44	18	27	19	32	35	9	50	24
644068	178	88	27	95	87	25	102	44	89	129
4681	11	21	2	12	18	12	10	9	30	18
3362	23	61	6	19	43	6	0	0	72	42
255104	156	334	62	318	214	140	332	123	359	247
54546	0	0	0	0	1	0	0	0	0	0
105376823	137	44	10	138	154	33	137	25	195	149
23252	356	417	75	477	348	210	673	154	270	379
30814	0	0	0	0	3	0	0	0	0	7
5320	0	0	0	0	1	1	1	0	0	0
5322	0	0	0	0	7	1	0	0	0	0
26279	4	1	2	17	10	12	0	0	2	9
64600	0	0	0	0	1	0	0	0	0	0
391013	5	0	0	4	41	0	14	0	5	5
127733	70	86	12	101	160	46	211	26	139	88
101928017	0	5	0	13	12	7	20	3	5	14
105376825	1	0	0	0	13	0	8	0	2	4
105376826	0	0	0	0	0	0	0	0	0	0
105376827	0	0	0	0	0	0	0	0	0	0
105376828	0	0	0	0	1	0	0	0	0	0
127731	17	32	5	40	35	10	49	7	21	14
339505	2	0	0	1	18	0	0	0	0	1
55450	106	27	1	44	45	14	16	19	340	48
79594	327	295	119	288	187	196	389	135	226	288
163933	0	0	0	0	0	0	0	0	1	0
978	1102	956	1068	5503	1918	2168	623	1426	625	766
65018	2023	2075	748	2078	1376	1186	1587	494	879	2089
102464833	1	6	1	4	2	2	1	2	3	3
100861548	2052	1936	736	2168	1413	1146	1899	559	1070	2003
1650	970	1095	402	1178	650	668	1439	492	819	1127
57576	0	0	3	20	5	0	0	1	0	2
400745	0	0	0	0	0	0	0	1	0	0
112268222	1240	693	236	995	596	428	1003	267	942	610
50809	9339	8790	2982	8967	6254	4031	9136	2781	7881	6386
8672	4222	3219	3362	4104	2403	4935	3392	2120	3081	3316
105376830	136	134	66	148	167	118	109	71	260	141
105376829	75	72	53	79	63	49	85	46	159	82
100302155	0	0	0	5	2	1	1	0	4	1
1889	2489	2269	1543	4047	2372	3389	1222	1446	2071	1893
100506801	99	131	69	282	84	147	61	71	226	90
105376832	0	0	0	0	0	0	0	0	0	1
84224	579	161	16	241	99	30	586	115	493	366
249	2922	3622	411	6957	4751	480	2146	630	1230	6971
105376834	55	12	5	28	11	3	7	2	6	14
5909	185	21	9	165	483	321	111	52	56	26
84196	4637	3606	982	4430	2972	1441	3999	1207	3877	3516
401944	19	18	2	23	3	8	2	5	1	4
3339	46	51	4	52	31	16	4	8	2	11
23436	0	0	0	1	0	0	0	0	0	2
10136	0	0	0	1	2	0	0	0	0	0
101928043	5	4	0	21	2	2	44	1	12	4
29092	90	98	31	85	49	80	111	43	118	83
112268223	65	64	23	12	16	23	30	14	48	31
998	22390	19839	8584	21745	14330	16283	17262	8202	14077	22330
54361	144	408	120	329	243	203	295	105	270	297
105376845	0	0	0	0	0	1	0	0	0	0
105376850	0	0	0	0	1	0	0	0	8	0
107985377	0	0	0	0	0	0	0	0	0	0
100616433	0	0	0	0	0	0	0	0	0	1
105376856	0	0	0	0	0	0	0	0	0	0
9923	1335	2248	383	1652	1144	707	2488	505	1361	1536
2046	0	0	0	1	2	0	0	0	0	0
102466615	0	0	0	0	0	0	0	0	0	0
712	11	4	59	7	6	38	10	18	32	27
714	0	4	119	44	6	115	5	53	8	33
713	11	14	191	97	22	111	50	68	49	51
2048	167	149	8	52	38	13	51	10	100	117
100616391	0	0	0	0	0	0	0	0	0	0
100422914	1	1	0	1	0	0	1	2	0	1
646262	0	0	0	1	1	0	0	0	0	0
729059	0	20	0	0	0	0	0	0	1	1
23028	1341	1566	369	1490	1081	700	2149	536	1582	1651
100422866	2	0	0	1	2	0	0	1	2	1
7798	1226	1278	323	1412	757	558	1288	404	1192	983
3352	0	0	0	0	1	0	0	0	0	1
100996511	800	572	204	536	472	242	649	175	464	538
10236	2605	2674	1235	2623	1827	1392	3996	1252	3269	2932
80818	481	428	263	400	245	373	528	193	372	404
148898	35	47	29	38	18	36	87	16	46	29
6920	225	274	53	201	104	89	355	65	141	198
55616	2	1	0	5	8	3	12	6	6	3
1870	1168	2016	510	755	994	1419	562	341	546	875
101928163	12	34	3	4	18	23	9	4	3	22
105376859	11	13	0	44	2	1	0	4	4	6
3399	165	101	33	168	71	34	166	37	72	60
107984928	2	10	0	5	0	2	2	0	5	5
259283	19	74	0	25	15	21	8	13	24	21
6135	1875	2649	1482	2084	1642	2205	3924	805	1791	2310
6924	568	639	264	859	385	448	775	279	720	696
100506963	212	128	44	191	126	108	234	50	176	133
57095	1007	2121	833	1332	1427	1696	963	412	1422	1735
105376860	79	71	15	65	41	48	31	23	21	62
11313	1000	958	336	1010	549	660	731	386	451	768
2582	14	81	25	62	47	61	85	23	53	43
3155	142	269	97	175	112	154	260	107	127	145
105376861	0	14	0	0	2	0	10	0	1	0
2517	535	451	146	485	329	312	443	123	474	531
1269	1139	829	87	740	548	215	530	113	914	521
107984929	26	18	4	29	27	12	12	6	58	25
100616492	0	0	0	0	0	0	0	0	0	0
55629	4199	4011	2494	3908	2340	3814	4367	1663	2447	3823
10772	5333	5952	2718	6130	4599	4299	7448	2586	3844	5006
105378615	0	0	0	0	0	0	0	0	0	0
105376863	0	0	0	0	2	0	0	0	0	0
107984931	0	0	0	0	0	0	0	0	0	0
127294	0	0	0	2	4	0	0	0	0	0
107985737	0	0	0	0	1	0	0	1	0	0
105376864	3	0	0	3	1	0	2	0	4	2
58985	0	0	0	0	0	0	0	1	0	0
163702	58	121	24	86	63	19	168	40	118	161
284632	1	0	0	0	1	0	0	0	0	0
105376871	71	3	0	68	34	2	12	1	45	6
57822	9	2	1	5	11	1	11	1	8	4
90529	71	74	12	63	72	56	67	22	92	50
57185	1016	1245	186	871	723	378	891	369	1357	543
100750325	22	18	6	25	37	18	15	14	8	16
11123	4333	4613	678	4702	2988	1542	4915	1235	2738	3478
100506985	304	226	44	232	175	96	223	60	106	245
400746	1	8	0	1	1	0	0	0	0	2
10250	2354	2236	609	3123	1902	1256	2550	997	3193	1979
25932	1096	921	1151	1120	819	1324	1114	717	630	1426
105376876	9	14	0	3	1	0	13	4	10	0
864	1401	3202	564	2227	1704	707	3525	935	4024	1446
102465437	2	6	0	6	3	2	5	5	1	1
107984932	586	810	198	799	616	179	875	161	654	410
105376878	485	1106	233	725	568	158	620	300	879	357
100616365	0	0	0	0	0	0	0	0	0	0
105376879	0	0	4	11	6	5	26	0	2	0
25949	722	907	481	628	475	583	804	371	369	1160
57035	4900	4591	3318	4915	2514	3978	3604	1877	3042	4014
105376882	8	2	0	2	0	0	0	0	3	6
6007	687	251	127	308	43	17	237	60	309	247
23585	2558	2119	1450	2954	1604	2244	2263	1156	1722	2405
6006	1458	1118	748	1609	825	1173	1309	596	1151	1329
55219	1147	1155	239	942	751	541	977	332	865	1014
26119	3258	4863	524	3504	2383	893	4026	731	3085	2786
57134	161	434	108	409	305	161	492	203	405	258
57190	456	939	166	784	371	277	519	184	891	492
56181	556	449	148	500	330	329	534	148	446	331
646471	106	228	21	145	141	75	207	46	129	78
79000	85	66	82	118	74	78	98	38	118	80
164091	222	403	62	305	176	154	262	107	302	164
3925	104	154	162	168	176	198	292	124	166	165
100500808	3	1	1	3	5	3	0	4	2	8
105376885	0	0	0	0	0	0	0	0	0	0
5051	487	794	93	475	353	212	704	146	702	473
101928216	0	0	0	0	11	0	0	0	6	5
2134	3	6	0	6	4	0	0	1	4	0
7780	0	2	0	5	3	0	0	1	0	2
105376910	0	0	0	0	0	0	0	0	0	0
84676	0	0	0	0	0	0	0	0	0	0
149420	567	335	192	384	310	304	438	129	418	410
105376886	6	14	1	10	2	5	0	4	0	13
79927	1	0	0	0	1	0	0	0	0	0
110806296	0	0	0	0	1	0	0	0	0	0
51042	6	51	30	37	15	26	41	40	6	25
10256	1	59	2	10	17	14	24	4	19	21
378807	0	0	0	0	0	1	0	0	0	0
101928303	0	0	0	0	4	3	0	0	0	2
64793	393	532	108	473	251	187	327	114	431	265
83442	15250	19449	11379	33235	19109	17149	10964	10410	12133	15148
91544	808	824	470	1808	545	689	730	383	542	628
1043	606	903	309	678	498	870	1308	242	616	594
55057	235	282	33	186	88	45	154	58	230	146
257101	75	192	22	34	115	49	155	27	184	119
79727	32	11	1	81	5	12	1	4	16	5
79947	806	1097	376	1374	933	609	1018	410	1057	898
101928324	181	197	27	159	82	70	115	44	223	110
3151	2750	2496	1093	2419	1724	1796	2303	966	2020	2349
6195	3835	3193	809	3136	2038	1821	2851	981	2684	3318
100302190	3	1	1	2	2	0	2	1	1	0
105376888	0	4	2	9	68	20	2	1	1	8
101928728	36	51	2	38	42	27	9	15	66	35
8289	3351	4236	955	4440	2784	1854	3462	962	4177	2654
55650	154	141	87	124	78	100	200	28	96	97
84243	9762	7194	3721	9815	7407	7377	3840	3057	3318	7793
2810	4	15	8	37	6	6	0	12	2	12
54707	488	613	140	399	241	251	380	136	373	363
63906	100	97	57	130	68	67	120	40	88	70
10726	238	200	248	196	158	156	218	88	262	124
8431	0	0	0	0	0	2	1	1	0	0
126695	31	29	3	34	27	24	1	3	9	10
388610	1	0	0	4	1	3	3	0	3	1
115572	7	1	0	0	0	1	0	1	33	0
101928391	1	0	2	1	1	3	4	0	0	0
6548	335	527	121	596	383	227	400	130	544	391
102723760	0	0	0	0	0	0	0	0	0	0
105376890	0	0	0	0	0	0	0	0	0	0
23038	2772	3778	937	3447	2279	1712	2262	783	1716	2294
84065	219	266	80	300	119	149	241	75	266	168
644961	181	113	22	88	83	49	145	45	97	94
84958	663	793	114	703	414	204	385	171	326	420
9064	51	176	13	48	16	22	34	11	61	73
8547	0	0	0	0	0	5	0	0	0	0
388611	2	0	0	0	1	0	0	0	0	0
2827	0	2	0	0	4	0	0	0	1	0
10163	5273	6758	3921	8769	6279	6093	4462	2877	6580	5546
105376892	17	19	6	17	8	3	22	11	23	11
27245	7	74	53	104	44	9	160	32	147	14
2268	12819	10493	6338	15090	9343	12498	8727	5983	6885	11807
111216282	0	0	3	0	0	2	0	0	0	2
2537	3209	5781	11226	2802	1036	22281	2218	8322	1997	3443
199870	354	318	83	252	291	172	318	76	310	218
23673	1700	1281	887	1677	1000	1382	1326	722	1258	1608
5511	1365	1442	598	1490	987	919	1261	635	1023	807
677774	11	118	10	73	40	17	30	16	17	60
9473	14352	13057	5710	16527	8386	9403	8844	5916	8584	16576
6118	1926	1565	552	2175	1434	1400	2042	739	1783	1800
27293	30	11	13	42	24	33	24	8	45	9
55113	1259	884	419	1464	910	1073	747	404	646	628
2140	2126	2116	955	1986	1379	1318	1818	716	2041	1781
5724	10460	9492	3767	11148	6222	5362	6908	3535	9916	9264
22826	1587	1133	655	1205	896	914	1905	459	933	1014
93974	314	408	113	291	149	135	325	146	243	348
83667	188	233	51	319	174	119	233	80	226	173
54797	136	120	60	162	78	119	114	70	64	126
65979	581	1029	471	1168	521	562	1012	461	1104	555
1104	361	713	200	505	219	361	504	173	264	312
8420	1157	2467	621	1110	761	654	1953	487	979	1163
6080	128	309	39	171	87	105	131	43	53	95
26768	27	133	16	47	22	16	43	21	22	27
54952	173	401	83	256	163	103	409	100	236	245
85028	238	197	60	210	94	111	208	97	210	139
692212	38	68	1	29	8	9	38	14	48	38
677838	11	6	4	11	3	9	21	4	13	6
677825	1	17	1	11	3	5	1	4	16	16
692073	2	14	0	4	4	0	3	1	11	2
115273	78	13	7	9	11	14	1	4	11	11
6883	775	538	284	699	429	596	614	298	365	570
105378616	7	24	6	36	4	12	34	5	5	23
26824	0	1	1	0	1	1	2	0	0	0
10691	842	1278	391	1339	1004	820	1042	515	1218	905
51441	1138	1112	541	1151	737	831	1077	569	1036	812
4985	7	0	0	13	14	7	8	0	4	7
2035	51164	73121	33332	63281	55134	77947	27986	19353	32768	68031
399474	4362	4651	1290	3612	3603	3133	3020	908	2183	3947
6429	543	830	382	908	489	496	613	443	1351	793
51102	53	142	16	66	31	15	32	12	57	52
10076	0	1	5	3	5	16	3	8	18	2
101928460	0	0	0	0	1	0	0	0	0	0
107984933	0	0	0	0	0	0	0	0	0	0
107984934	0	0	0	0	1	0	0	0	0	0
101929406	0	0	0	0	0	0	0	0	0	1
105378617	1	0	0	0	2	0	0	0	0	0
105378618	0	0	0	0	0	0	0	0	0	0
4146	11	19	1	25	19	7	11	3	7	5
100129196	116	81	7	57	82	36	80	25	83	46
7805	29934	28966	21529	58467	40883	44431	20703	18652	24442	31308
100616164	59	29	5	35	33	17	4	8	45	30
105378620	952	1561	326	1276	1026	592	900	335	877	662
105378621	0	0	0	0	0	0	0	0	0	0
105378622	0	0	0	0	0	0	0	0	0	6
400748	1	0	0	0	4	0	1	0	1	4
9672	21	20	89	73	68	79	17	46	35	35
9698	3363	3319	1218	3878	2203	1843	3578	1306	3443	2864
692234	63	160	1	84	34	12	49	15	43	30
692235	58	121	1	72	30	10	45	11	43	29
692200	2	5	0	1	1	2	1	3	8	3
